"dt"	"level"	"Alice"	"Bob"
2014-07-17	34	12850	0
2014-07-17	35	14290	0
2014-07-17	36	0	0
2014-07-17	37	0	0
2014-07-17	38	0	0
2014-07-17	39	0	0
2014-07-17	40	0	0
2014-07-17	41	0	0
2014-07-17	42	0	0
2014-07-17	43	0	0
2014-07-17	44	0	0
2014-07-17	45	0	0
2014-07-17	46	0	0
2014-07-17	47	0	0
2014-07-17	48	0	0
2014-07-17	49	0	0
2014-07-18	1	15430	10750
2014-07-18	2	7860	6810
2014-07-18	3	10890	8460
2014-07-18	4	14030	12020
2014-07-18	5	14380	11010
2014-07-18	6	11960	9540
2014-07-18	7	16560	14730
2014-07-18	8	15230	12590
2014-07-18	9	13280	16790
2014-07-18	10	12580	14440
2014-07-18	11	11620	8950
2014-07-18	12	10800	7440
2014-07-18	13	8980	11760
2014-07-18	14	11200	7330
2014-07-18	15	7620	13930
2014-07-18	16	10760	15370
2014-07-18	17	9620	8670
2014-07-18	18	17720	17740
2014-07-18	19	13250	9690
2014-07-18	20	14460	9770
2014-07-18	21	19410	10710
2014-07-18	22	11810	9770
2014-07-18	23	12880	10440
2014-07-18	24	10150	9390
2014-07-18	25	9240	5770
2014-07-18	26	13750	10270
2014-07-18	27	10570	7520
2014-07-18	28	12500	10570
2014-07-18	29	9560	13570
2014-07-18	30	11510	9550
2014-07-18	31	13260	0
2014-07-18	32	10720	0
2014-07-18	33	12770	0
2014-07-18	34	12850	0
2014-07-18	35	14290	0
2014-07-18	36	0	0
2014-07-18	37	0	0
2014-07-18	38	0	0
2014-07-18	39	0	0
2014-07-18	40	0	0
2014-07-18	41	0	0
2014-07-18	42	0	0
2014-07-18	43	0	0
2014-07-18	44	0	0
2014-07-18	45	0	0
2014-07-18	46	0	0
2014-07-18	47	0	0
2014-07-18	48	0	0
2014-07-18	49	0	0
2014-07-19	1	15430	10750
2014-07-19	2	7860	6810
2014-07-19	3	10890	8460
2014-07-19	4	14030	12020
2014-07-19	5	14380	11010
2014-07-19	6	11960	9540
2014-07-19	7	16560	14730
2014-07-19	8	15230	12590
2014-07-19	9	13280	16790
2014-07-19	10	12580	14440
2014-07-19	11	11620	8950
2014-07-19	12	10800	7440
2014-07-19	13	8980	11760
2014-07-19	14	11200	7330
2014-07-19	15	7620	13930
2014-07-19	16	10760	15370
2014-07-19	17	9620	8670
2014-07-19	18	26090	17740
2014-07-19	19	13250	9690
2014-07-19	20	14460	9770
2014-07-19	21	19410	10710
2014-07-19	22	11810	9770
2014-07-19	23	12880	10440
2014-07-19	24	10150	9390
2014-07-19	25	9240	5770
2014-07-19	26	13750	10270
2014-07-19	27	10570	7760
2014-07-19	28	12500	10570
2014-07-19	29	14710	13570
2014-07-19	30	11510	9550
2014-07-19	31	13260	0
2014-07-19	32	10720	0
2014-07-19	33	12770	0
2014-07-19	34	12850	0
2014-07-19	35	14290	0
2014-07-19	36	0	0
2014-07-19	37	0	0
2014-07-19	38	0	0
2014-07-19	39	0	0
2014-07-19	40	0	0
2014-07-19	41	0	0
2014-07-19	42	0	0
2014-07-19	43	0	0
2014-07-19	44	0	0
2014-07-19	45	0	0
2014-07-19	46	0	0
2014-07-19	47	0	0
2014-07-19	48	0	0
2014-07-19	49	0	0
2014-07-20	1	15430	12060
2014-07-20	2	7860	8230
2014-07-20	3	10890	10430
2014-07-20	4	14030	14830
2014-07-20	5	14380	12520
2014-07-20	6	11960	9540
2014-07-20	7	16560	14730
2014-07-20	8	16190	12590
2014-07-20	9	13280	16790
2014-07-20	10	12580	14440
2014-07-20	11	11620	8950
2014-07-20	12	10800	7440
2014-07-20	13	8980	11760
2014-07-20	14	11200	7330
2014-07-20	15	7620	13930
2014-07-20	16	10760	15370
2014-07-20	17	9620	8670
2014-07-20	18	26090	17740
2014-07-20	19	13250	9690
2014-07-20	20	14460	9770
2014-07-20	21	19410	10710
2014-07-20	22	11810	9770
2014-07-20	23	12880	10440
